Word,Count,Reading,JLPT Level,Meaning
腰かける,5,コシカケル,jlpt-n2,to sit (down)
恋人,5,コイビト,jlpt-n3,lover
事,5,コト,jlpt-n3,thing
誰,5,ダレ,jlpt-n5,who
目的,5,モクテキ,jlpt-n3,purpose
十分,5,ジュウ,jlpt-n4,enough
分る,5,ワカル,jlpt-n5,to understand
願い,5,ネガイ,jlpt-n3,desire
訳,5,ワケ,jlpt-n4,"conclusion from reasoning, judgement or calculation based on something read or heard"
職人,5,ショクニン,jlpt-n2,craftsman
魅力,5,ミリョク,jlpt-n3,charm
身,5,ミ,jlpt-n3,one's body
所,5,トコロ,jlpt-n5,place
芸術,5,ゲイジュツ,jlpt-n3,art
いい,5,イイ,jlpt-n5,good
つく,5,ツク,jlpt-n5,to arrive at
聞く,5,キク,jlpt-n5,to hear
考える,5,カンガエル,jlpt-n4,"to think (about, of)"
始める,5,ハジメル,jlpt-n4,to start
盗み,5,ヌスミ,jlpt-n1,stealing
工合,5,グアイ,jlpt-n4,condition
考え,5,カンガエ,jlpt-n3,thinking
原稿,5,ゲンコウ,jlpt-n2,manuscript
本当,4,ホントウ,jlpt-n5,truth
立,4,タツ,jlpt-n5,to stand (up)
烈しい,4,ハゲシイ,jlpt-n3,violent
持主,4,モチヌシ,unknown,owner
主人,4,シュジン,unknown,head (of a household)
肘掛け,4,ヒジカケ,unknown,armrest (of a chair)
書く,4,カク,jlpt-n5,to write
様子,4,ヨウス,jlpt-n3,state (of affairs)
革,4,カワ,jlpt-n3,leather
姿,4,スガタ,jlpt-n3,figure
奇怪,4,キカイ,unknown,strange
哀れ,4,アワレ,jlpt-n3,pity
申す,4,モウス,jlpt-n4,to say
気持,4,キモチ,jlpt-n4,feeling
註文,4,チュウモン,jlpt-n3,order (for an item)
物音,4,モノオト,jlpt-n3,noise
人々,4,ヒトビト,unknown,people
とる,4,トル,jlpt-n5,to take
く,4,ク,jlpt-n3,section (i.e. of text)
時分,4,ジブン,unknown,time
買手,4,カイテ,unknown,buyer
先,4,サキ,jlpt-n5,point
凡て,4,スベテ,jlpt-n3,everything
廻る,4,メグル,jlpt-n4,to turn
皮,4,カワ,jlpt-n3,skin
重い,4,オモイ,jlpt-n5,heavy
大,4,ダイ,unknown,large
競売,4,キョウバイ,unknown,auction
仕事,4,シゴト,jlpt-n5,work
愛す,4,アイス,unknown,to love
日本,4,ニッポン,jlpt-n3,Japan
我,4,ワガ,unknown,I
者,4,モノ,jlpt-n3,person
彼等,4,カレラ,jlpt-n3,they
死ぬ,4,シヌ,jlpt-n5,to die
経験,4,ケイケン,jlpt-n3,experience
悪い,4,ワルイ,jlpt-n5,bad
過ぎる,4,ヨギル,jlpt-n4,to pass through
躾,4,シツケ,jlpt-n1,discipline
無,4,ム,jlpt-n3,nothing
心,4,ココロ,jlpt-n4,mind
妙,4,ミョウ,jlpt-n3,strange
手,4,テ,jlpt-n5,hand
達,4,イタル,unknown,pluralizing suffix (esp. for people and animals; formerly honorific)
くい,3,クイ,unknown,regret
一種,3,イッシュ,jlpt-n3,a kind
ここ,3,ココ,jlpt-n1,individual
頭,3,アタマ,jlpt-n5,head
日頃,3,ヒゴロ,jlpt-n1,normally
新しい,3,アタラシイ,jlpt-n5,new
現実,3,ゲンジツ,jlpt-n3,reality
腿,3,モモ,jlpt-n1,thigh
満足,3,マンゾク,jlpt-n3,satisfaction
よう,3,ヨウ,jlpt-n3,appearing ...
豊,3,ユタカ,jlpt-n3,abundant
違う,3,チガウ,jlpt-n5,to differ (from)
つづける,3,ツヅケル,jlpt-n4,to continue
太,3,フトシ,unknown,fat
くる,3,クル,jlpt-n5,to come (spatially or temporally)
受ける,3,ウケル,jlpt-n4,to receive
隠れる,3,カクレル,jlpt-n3,to hide
相手,3,アイテ,jlpt-n3,companion
贅沢,3,ゼイタク,jlpt-n3,luxury
忘れる,3,ワスレル,jlpt-n5,to forget
最初,3,サイショ,jlpt-n4,beginning
おかけ,3,オカケ,jlpt-n2,please sit down
やる,3,ヤル,jlpt-n1,to do
味気,3,アジケ,unknown,wearisome
お話,3,オハナシ,unknown,story
坐り,3,スワリ,unknown,sitting
嬉しい,3,ウレシイ,jlpt-n3,happy
形容,3,ケイヨウ,unknown,description
喜び,3,ヨロコビ,jlpt-n2,joy
いつ,3,イツ,jlpt-n5,when
気味,3,キミ,jlpt-n3,sensation
貝殻,3,カイガラ,jlpt-n1,seashell
跫音,3,キョウオン,unknown,sound of footsteps
ろ,3,ロ,unknown,hearth
お願い,3,オネガイ,unknown,request
どこ,3,ドコ,jlpt-n5,where
恰好,3,カッコウ,jlpt-n3,shape
別,3,ベツ,jlpt-n4,distinction
苦心,3,クシン,jlpt-n2,pains
逃げ出す,3,ニゲダス,jlpt-n1,to run away
道具,3,ドウグ,jlpt-n4,tool
嘗,3,*,unknown,lick
つて,3,ツテ,unknown,means of making contact
商会,3,ショウカイ,unknown,firm
市,3,シ,jlpt-n4,city
経営,3,ケイエイ,jlpt-n3,management
品,3,シナ,jlpt-n3,article
本国,3,ホンゴク,unknown,home country
暮し,3,クラシ,jlpt-n3,(way of) life
奇妙,3,キミョウ,jlpt-n3,strange
取る,3,トル,jlpt-n5,to take
似る,3,ニル,jlpt-n4,to resemble
佳子,3,ケイコ,unknown,Princess Kako of Akishino
クッション,3,クッション,unknown,cushion
愛着,3,アイチャク,unknown,attachment (esp. to things)
肌,3,ハダ,jlpt-n3,skin
通,3,ツウ,jlpt-n1,authority
通り,3,トオリ,jlpt-n3,avenue
歌,3,ウタ,jlpt-n5,song
優しい,3,ヤサシイ,jlpt-n4,tender
点,3,テン,jlpt-n4,dot
お許し,3,オユルシ,unknown,unknown
切る,3,キル,jlpt-n5,to cut
余り,3,アマリ,jlpt-n5,remainder
例,3,レイ,jlpt-n3,example
告白,3,コクハク,jlpt-n1,"confession (to a crime, wrongdoing, etc.)"
数,3,カズ,jlpt-n3,several
異国,3,イコク,unknown,foreign country
薄い,3,ウスイ,jlpt-n5,thin
有名,3,ユウメイ,jlpt-n5,famous
界,3,サカイ,jlpt-n3,border
悪魔,3,アクマ,jlpt-n3,devil
広い,3,ヒロイ,jlpt-n5,spacious
動かす,3,ウゴカス,jlpt-n3,to move
あと,3,アト,jlpt-n3,trace
予感,3,ヨカン,jlpt-n1,presentiment
隔てる,3,ヘダテル,jlpt-n2,"to separate (by distance, time, etc.)"
十,3,ジュウ,jlpt-n5,ten
表題,3,ヒョウダイ,unknown,title
月日,3,ツキヒ,jlpt-n2,time
気味悪い,3,キミワルイ,unknown,unpleasant
注意,2,チュウイ,jlpt-n4,attention
全体,2,ゼンタイ,jlpt-n3,whole
先生,2,センセイ,jlpt-n5,teacher
比べる,2,クラベル,jlpt-n4,to compare
机,2,ツクエ,jlpt-n5,desk
何れ,2,イズレ,jlpt-n5,which (of three or more)
一体,2,イッタイ,jlpt-n3,(what) the heck
乙女,2,オトメ,jlpt-n1,girl (usu. between 7 and 17)
辺,2,アタリ,jlpt-n5,area
物,2,モノ,jlpt-n5,thing
坐る,2,スワル,jlpt-n5,to sit
歩く,2,アルク,jlpt-n5,to walk
のさばる,2,ノサバル,unknown,to act as one pleases
国,2,クニ,jlpt-n5,country
殆ど,2,ホトンド,jlpt-n1,almost
灰色,2,ハイイロ,jlpt-n2,grey
希望,2,キボウ,jlpt-n3,hope
識別,2,シキベツ,unknown,discrimination
ローンジ,2,*,unknown,unknown
半,2,ハン,jlpt-n5,half
ヤリ,2,ヤリ,unknown,Tanakia lanceolata (species of cyprinid)
於,2,*,jlpt-n1,at
出入り,2,デイリ,jlpt-n2,going in and out
危険,2,キケン,jlpt-n4,danger
富む,2,トム,jlpt-n1,to be rich in
弾力,2,ダンリョク,jlpt-n1,elasticity
外人,2,ガイジン,unknown,foreigner (esp. one of European ancestry)
海岸,2,カイガン,jlpt-n4,coast
仕上げる,2,シアゲル,jlpt-n1,to finish up
鞣皮一,2,*,unknown,leather
しく,2,シク,jlpt-n2,to spread out
心持,2,ココロモチ,unknown,feeling
隠る,2,コモル,jlpt-n1,to shut oneself in (e.g. one's room)
位,2,クライ,jlpt-n3,throne
開封,2,カイフウ,unknown,"opening (a letter, parcel, etc.)"
貰う,2,モラウ,jlpt-n3,to receive
しなやか,2,シナヤカ,jlpt-n1,supple
残る,2,ノコル,jlpt-n4,to remain
打つ,2,ウツ,jlpt-n4,to hit
人目,2,ヒトメ,jlpt-n1,(public) notice
刺戟,2,シゲキ,jlpt-n3,stimulus
どく,2,ドク,jlpt-n3,poison
自由自在,2,ジユウジザイ,unknown,free
店先,2,ミセサキ,unknown,storefront
屋,2,ヤ,unknown,shop
生きもの,2,イキモノ,jlpt-n3,living thing
封書,2,フウショ,unknown,sealed letter
歌う,2,ウタウ,jlpt-n5,to sing
張り,2,ハリ,unknown,stretch
以来,2,イライ,jlpt-n3,since
製作,2,セイサク,jlpt-n2,manufacture
うろつく,2,ウロツク,unknown,to loiter
抜け出す,2,ヌケダス,jlpt-n1,to slip out
夢中,2,ムチュウ,jlpt-n3,absorbed in
脚,2,アシ,jlpt-n5,foot
肥える,2,コエル,unknown,to grow fat
墓場,2,ハカバ,unknown,graveyard
都合,2,ツゴウ,jlpt-n4,circumstances
計画,2,ケイカク,jlpt-n3,plan
枚,2,マイ,jlpt-n1,"counter for thin, flat objects (e.g. sheets of paper, plates, coins)"
動く,2,ウゴク,jlpt-n4,to move
極まる,2,キワマル,unknown,to reach an extreme
気違い,2,キチガイ,unknown,madness
感銘,2,カンメイ,unknown,deep impression
め,2,メ,jlpt-n5,eye
のせる,2,ノセル,jlpt-n2,to place on (something)
あまり,2,アマリ,jlpt-n5,remainder
創作,2,ソウサク,jlpt-n2,creation
まっ暗,2,マックラ,jlpt-n2,total darkness
事柄,2,コトガラ,jlpt-n1,matter
不気味,2,ブキミ,unknown,weird
かかる,2,カカル,jlpt-n5,"to take (a resource, e.g. time or money)"
掛ける,2,カケル,jlpt-n5,"to hang up (e.g. a coat, a picture on the wall)"
部分,2,ブブン,jlpt-n3,portion
ゴム,2,ゴム,jlpt-n2,gum
完全,2,カンゼン,jlpt-n3,perfect
政治,2,セイジ,jlpt-n4,politics
隙間,2,スキマ,jlpt-n2,crevice
夫,2,オット,jlpt-n4,husband
ムク,2,ムク,unknown,grey starling (Sturnus cineraceus)
常人,2,ジョウジン,unknown,ordinary person
入れる,2,イレル,jlpt-n5,to put in
細工,2,ザイク,jlpt-n1,work
内部,2,ナイブ,jlpt-n1,interior
つける,2,ツケル,jlpt-n5,to attach
異性,2,イセイ,jlpt-n1,the opposite sex
大使,2,タイシ,jlpt-n3,ambassador
普通,2,フツウ,jlpt-n4,normal
洋館,2,ヨウカン,unknown,Western-style house
腕,2,ウデ,jlpt-n4,arm
起す,2,オコス,jlpt-n1,to raise
感じ,2,カンジ,jlpt-n3,feeling
新聞,2,シンブン,jlpt-n5,newspaper
数々,2,カズカズ,unknown,many
豊満,2,ホウマン,unknown,stout
背中,2,セナカ,jlpt-n4,back (of the body)
保つ,2,タモツ,jlpt-n1,to keep
肌触り,2,ハダザワリ,unknown,the touch of
太る,2,フトル,jlpt-n4,to put on weight
影,2,カゲ,jlpt-n3,shadow
心配,2,シンパイ,jlpt-n3,worry
すぎる,2,スギル,jlpt-n4,to pass through
下す,2,クダス,unknown,to make a decision
腰,2,コシ,jlpt-n3,lower back
毎日,2,マイニチ,jlpt-n5,every day
未知,2,ミチ,jlpt-n1,not yet known
ボン,2,ボン,unknown,good
四,2,ヨン,jlpt-n5,four
見事,2,ミゴト,jlpt-n3,splendid
苦しみ,2,クルシミ,unknown,pain
女性,2,ジョセイ,jlpt-n4,woman
形,2,カタチ,jlpt-n3,form
後,2,ノチ,jlpt-n3,after
あからさま,2,アカラサマ,jlpt-n1,plain
浮ぶ,2,ウカブ,jlpt-n1,to float
着る,2,キル,jlpt-n5,to wear (from the shoulders down)
次,2,ツギ,jlpt-n5,next
使,2,シ,unknown,messenger
受取る,2,ウケトル,jlpt-n3,to receive
荷車,2,ニグルマ,unknown,cart
会社,2,カイシャ,jlpt-n5,company
癖,2,クセ,jlpt-n3,habit (usu. a bad one)
愛撫,2,アイブ,unknown,caressing
両手,2,リョウテ,unknown,both hands
沈める,2,シズメル,jlpt-n1,to sink (e.g. a ship)
頃,2,コロ,jlpt-n3,(approximate) time
見える,2,ミエル,jlpt-n4,to be seen
始まる,2,ハジマル,jlpt-n5,to begin
ひどい,2,ヒドイ,jlpt-n1,cruel
抱く,2,イダク,jlpt-n3,to hold in one's arms (e.g. a baby)
堅い,2,カタイ,jlpt-n2,hard
何事,2,ナニゴト,unknown,what
匆々,2,ソウソウ,unknown,busy
愉快,2,ユカイ,jlpt-n3,pleasant
フカ,2,フカ,unknown,(large) shark
力,2,チカラ,jlpt-n4,force
事件,2,ジケン,jlpt-n3,event
発見,2,ハッケン,jlpt-n3,discovery
みじめ,2,ミジメ,jlpt-n1,miserable
ソロ,2,ソロ,jlpt-n1,solo
云う,2,イウ,jlpt-n5,to say
得意,2,トクイ,jlpt-n3,satisfaction
暗闇,2,クラヤミ,unknown,darkness
倍,2,バイ,jlpt-n4,double
迚,2,*,jlpt-n5,very
暇,2,ヒマ,jlpt-n5,spare time
住む,2,スム,jlpt-n5,to live (of humans)
懸る,2,カカル,jlpt-n5,"to take (a resource, e.g. time or money)"
換える,2,カエル,jlpt-n2,to replace
偉大,2,イダイ,jlpt-n3,great
楽しむ,2,タノシム,jlpt-n1,to enjoy
おかしい,2,オカシイ,jlpt-n1,funny
以上,2,イジョウ,jlpt-n4,not less than ...
大騒ぎ,2,オオサワギ,unknown,clamour
窮屈,2,キュウクツ,jlpt-n1,narrow
差上げる,2,サシアゲル,jlpt-n4,to lift up
床,2,ユカ,jlpt-n3,floor
破る,2,ヤブル,jlpt-n3,to tear
微妙,2,ビミョウ,jlpt-n3,subtle
逃げる,2,ニゲル,jlpt-n4,to run away
上物,2,ジョウモノ,unknown,high-quality goods
向う,2,ムコウ,jlpt-n2,to face
立てる,2,タテル,jlpt-n4,to stand up
位置,2,イチ,jlpt-n1,place
無意識,2,ム,unknown,unconsciousness
かよう,2,カヨウ,jlpt-n4,to go to and from (a place)
主,2,アルジ,unknown,head (of a household)
驚く,2,オドロク,jlpt-n4,to be surprised
不幸,2,フコウ,jlpt-n3,unhappiness
居間,2,イマ,jlpt-n3,living room (Western style)
身の上,2,ミノウエ,unknown,one's station in life
音,2,オト,jlpt-n1,sound
かける,2,カケル,jlpt-n5,"to hang up (e.g. a coat, a picture on the wall)"
失礼,2,シツレイ,unknown,discourtesy
明るい,2,アカルイ,jlpt-n5,light
廻す,2,マワス,jlpt-n3,to turn
因果,2,インガ,unknown,cause and effect
起る,2,オコル,jlpt-n3,to occur
変化,2,ヘンカ,jlpt-n3,change
近頃,2,チカゴロ,jlpt-n3,lately
千,2,セン,jlpt-n5,thousand
すみか,2,スミカ,unknown,dwelling
万,2,バン,jlpt-n5,"10,000"
事実,2,ジジツ,jlpt-n3,fact
鼻息,2,ハナイキ,unknown,nasal breathing
帰る,2,カエル,jlpt-n5,to return
使う,2,ツカウ,jlpt-n5,"to use (a tool, method, etc.)"
方法,2,ホウホウ,jlpt-n3,method
望む,2,ノゾム,jlpt-n3,to desire
うし,2,ウシ,jlpt-n3,cattle (Bos taurus)
生れつき,2,ウマレツキ,jlpt-n1,by nature
触れる,2,フレル,jlpt-n3,to touch
交す,2,カワス,jlpt-n1,"to exchange (messages, greetings, arguments, etc.)"
囁き,2,ササヤキ,unknown,whispering
代り,2,カワリ,jlpt-n4,substitute
着く,2,ツク,jlpt-n5,to arrive at
情熱,2,ジョウネツ,jlpt-n1,passion
成功,2,セイコウ,jlpt-n3,success
行,2,クダリ,jlpt-n1,line (of text)
聞き届ける,2,キキトドケル,unknown,to grant (a request)
密接,2,ミッセツ,jlpt-n1,"close (relationship, connection, etc.)"
ただ,2,タダ,jlpt-n2,ordinary
合図,2,アイズ,jlpt-n3,sign
貧乏,2,ビンボウ,jlpt-n1,poverty-stricken
絨氈,2,*,jlpt-n1,carpet
甘い,2,アマイ,jlpt-n5,sweet-tasting
貴公子,2,キコウシ,unknown,young nobleman
突飛,2,トッピ,unknown,erratic
知らせる,2,シラセル,jlpt-n4,to notify
時間,2,ジカン,jlpt-n5,time
逢う,2,アウ,jlpt-n5,to meet
味,2,アジ,jlpt-n4,flavor
ほほえむ,2,ホホエム,jlpt-n3,to smile
身の程,2,ミノホド,unknown,one's social position
暖,2,ダン,unknown,warming
クネクネ,2,*,unknown,winding
何気ない,2,ナニゲナイ,jlpt-n1,casual
拘る,2,カカワル,jlpt-n1,to be obsessive (about)
ガッシリ,2,*,jlpt-n1,firmly
眼,2,メ,jlpt-n5,eye
西洋,2,セイヨウ,jlpt-n4,the West
伺う,2,ウカガウ,jlpt-n3,to call on someone
筆,2,フデ,jlpt-n3,writing brush
胸,2,ムネ,jlpt-n3,chest
薫,2,カオル,jlpt-n3,aroma
甘美,2,カンビ,unknown,sweet (taste)
フーワリ,2,*,unknown,softly
驚き,2,オドロキ,jlpt-n1,surprise
御存じ,2,ゴゾンジ,jlpt-n4,knowing
迷う,2,マヨウ,unknown,to lose one's way
様々,2,サマザマ,jlpt-n3,various
儘,1,*,unknown,as (it is)
真似,1,マネ,jlpt-n3,imitating
記述,1,キジュツ,jlpt-n1,description
其偉大,1,*,jlpt-n3,vast
気安い,1,キヤスイ,unknown,relaxed
それどころ,1,ソレドコロ,unknown,(not) so much
変る,1,カワル,jlpt-n4,to change
記憶,1,キオク,jlpt-n3,memory
重,1,オモ,unknown,jūbako
抱きしめる,1,ダキシメル,unknown,to hug someone close
体躯,1,タイク,unknown,body
勝手,1,カッテ,unknown,one's own convenience
体,1,カラダ,jlpt-n5,body
匂,1,ニオイ,jlpt-n3,odour
批判,1,ヒハン,jlpt-n3,criticism
噂,1,ウワサ,jlpt-n3,rumour
鞠,1,マリ,jlpt-n1,"ball (for sport, games, etc.)"
美醜,1,ビシュウ,unknown,beauty or ugliness
不安,1,フアン,jlpt-n3,anxiety
力強い,1,チカラヅヨイ,jlpt-n2,powerful
円満,1,エンマン,jlpt-n1,harmonious
彫刻,1,チョウコク,jlpt-n2,carving
ぬくい,1,ヌクイ,jlpt-n5,lukewarm
発達,1,ハッタツ,jlpt-n3,development
それぞれ,1,ソレゾレ,jlpt-n1,each
特徴,1,トクチョウ,jlpt-n3,feature
首筋,1,クビスジ,unknown,nape of the neck
移る,1,ウツル,jlpt-n4,to move (house)
ギリシャ,1,ギリシャ,unknown,Greece
脂肪,1,シボウ,jlpt-n1,fat
問題,1,モンダイ,jlpt-n5,question (e.g. on a test)
み,1,ミ,jlpt-n3,fruit
刻みつける,1,キザミツケル,unknown,to engrave
欧,1,オウ,unknown,Europe
洲,1,シュウ,jlpt-n3,"state (of the US, Australia, India, Germany, etc.)"
全身,1,ゼンシン,jlpt-n2,whole (body)
強国,1,キョウコク,unknown,strong nation
重み,1,オモミ,unknown,weight
自在,1,ジザイ,jlpt-n1,being able to do as one pleases
妖艶,1,ヨウエン,unknown,fascinating
裸,1,ハダカ,jlpt-n3,nakedness
蛇,1,ヘビ,unknown,snake
引き締る,1,ヒキシマル,unknown,to become tense
委ねる,1,ユダネル,unknown,to entrust (a matter) to
声音,1,セイオン,unknown,vocal sound
ボーイ,1,ボーイ,jlpt-n3,boy
仔馬,1,*,unknown,small horse
精悍,1,セイカン,unknown,virile
不可思議,1,フカシギ,unknown,mystery
其私,1,*,unknown,unknown
利く,1,キク,jlpt-n3,to be effective
ほんとう,1,ホントウ,jlpt-n5,truth
始め,1,ハジメ,jlpt-n5,beginning
予定,1,ヨテイ,jlpt-n4,plans
果す,1,ハタス,jlpt-n1,to accomplish
よる,1,ヨル,jlpt-n5,evening
投げつける,1,ナゲツケル,unknown,to throw at
側,1,ガワ,jlpt-n1,"side (of something, or taking someone's side)"
ひそむ,1,ヒソム,unknown,to lurk
合せ,1,アワセ,jlpt-n3,"to match (rhythm, speed, etc.)"
積り,1,ツモリ,jlpt-n1,intention
口,1,クチ,jlpt-n5,mouth
永住,1,エイジュウ,unknown,permanent residence
辛抱,1,シンボウ,jlpt-n1,patience
足どり,1,アシドリ,unknown,gait
夜々,1,ヨル,unknown,every evening
躍る,1,オドル,unknown,to jump up
行う,1,オコナウ,jlpt-n4,to perform
許す,1,ユルス,jlpt-n3,to permit
予期,1,ヨキ,jlpt-n3,expectation
網,1,アミ,jlpt-n1,net
触覚,1,ショッカク,unknown,sense of touch
聴覚,1,チョウカク,jlpt-n1,the sense of hearing
僅,1,*,jlpt-n3,a little
嗅覚,1,キュウカク,unknown,sense of smell
この世,1,コノヨ,unknown,this world
はねる,1,ハネル,jlpt-n2,to jump
魚,1,サカナ,jlpt-n5,fish
手足,1,テアシ,unknown,hands and feet
異形,1,イギョウ,unknown,fantastic
調子,1,チョウシ,jlpt-n3,tune
出す,1,ダス,jlpt-n5,to take out
愛慾,1,アイヨク,unknown,passion
ござる,1,ゴザル,unknown,to be
接近,1,セッキン,jlpt-n2,getting closer
隅々,1,スミ,unknown,every corner
笑う,1,ワラウ,jlpt-n4,to laugh
小声,1,コゴエ,unknown,low voice
外出,1,ガイシュツ,jlpt-n3,going out
随,1,ズイ,jlpt-n2,essays
忍ぶ,1,シノブ,unknown,to conceal oneself
場,1,バ,jlpt-n3,place
化粧,1,ケショウ,jlpt-n3,make-up
室,1,シツ,jlpt-n1,room
往復,1,オウフク,jlpt-n2,making a round trip
躄,1,イザリ,unknown,crawling on the ground
惑溺,1,ワクデキ,unknown,indulgence
這う,1,ハウ,jlpt-n2,to crawl
見捨てる,1,ミステル,unknown,to abandon
料理,1,リョウリ,jlpt-n5,cooking
なれる,1,ナレル,jlpt-n2,to get used to
住居,1,ジュウキョ,jlpt-n2,dwelling
泊る,1,トマル,jlpt-n4,to stay at (e.g. hotel)
客,1,キャク,jlpt-n4,guest
怖い,1,コワイ,jlpt-n4,scary
接吻,1,セップン,unknown,kiss
遠慮,1,エンリョ,jlpt-n3,reserve
陶酔,1,トウスイ,unknown,intoxication
直立,1,チョクリツ,unknown,standing upright
驚天動地,1,キョウテンドウチ,unknown,astounding
見つかる,1,ミツカル,jlpt-n2,to be found
能,1,ノウ,jlpt-n3,talent
加える,1,クワエル,jlpt-n3,to add
しいる,1,シイル,jlpt-n1,to force
恥,1,ハジ,jlpt-n1,shame
ひける,1,ヒケル,unknown,to close
神聖,1,シンセイ,jlpt-n1,holiness
うら若い,1,ウラワカイ,unknown,young
暮す,1,クラス,jlpt-n3,to live
